ts,open,high,low,close,volume
2023-05-15,1799.08,1847.94,1784.6,1816.21,104189.244358
2023-05-16,1816.09,1832.73,1796.45,1824.3,65234.525828
2023-05-17,1824.31,1837.37,1783.0,1822.29,81114.408587
2023-05-18,1822.31,1832.0,1771.11,1800.75,76495.49616
2023-05-19,1800.75,1829.84,1796.93,1812.4,49196.06267
2023-05-20,1812.44,1828.8,1807.04,1819.46,22711.899487
2023-05-21,1819.32,1829.28,1797.76,1805.0,34693.356965
2023-05-22,1805.01,1828.0,1792.0,1817.43,49358.65098
2023-05-23,1817.45,1879.78,1815.06,1854.16,107490.408001
2023-05-24,1854.16,1854.36,1775.16,1800.01,100723.868932
2023-05-25,1800.0,1819.0,1758.94,1805.44,79485.512675
2023-05-26,1805.44,1838.0,1796.57,1827.39,59449.105754
2023-05-27,1827.38,1836.11,1812.32,1829.7,23778.693575
2023-05-28,1829.7,1934.34,1823.15,1909.29,93522.332712
2023-05-29,1909.16,1928.13,1873.68,1892.64,64458.421071
2023-05-30,1892.64,1916.78,1881.28,1901.05,40958.496964
2023-05-31,1901.06,1907.49,1845.35,1873.51,83086.209488
2023-06-01,1873.52,1890.0,1838.0,1861.6,64468.814434
2023-06-02,1861.55,1911.16,1847.24,1906.34,66614.53503
2023-06-03,1906.35,1907.56,1881.46,1892.1,32091.943064
2023-06-04,1892.02,1914.3,1883.94,1889.76,33945.666955
2023-06-05,1889.65,1890.68,1773.84,1810.31,171127.37835
2023-06-06,1810.41,1898.8,1797.21,1883.96,109269.521694
2023-06-07,1884.01,1897.43,1821.0,1832.12,90691.87715
2023-06-08,1832.12,1861.31,1828.23,1845.89,37042.952637
2023-06-09,1845.79,1855.34,1826.27,1840.75,51837.067602
2023-06-10,1840.76,1845.51,1713.71,1751.59,206814.83972
2023-06-11,1751.59,1778.31,1738.81,1752.82,48319.314142
2023-06-12,1752.82,1759.09,1720.03,1742.58,72389.035114
2023-06-13,1742.75,1767.23,1724.55,1740.27,93160.050432
2023-06-14,1740.27,1750.0,1621.86,1651.08,157624.058182
2023-06-15,1651.07,1681.0,1626.67,1666.5,137244.776353
2023-06-16,1666.49,1729.46,1650.0,1717.7,102844.125643
2023-06-17,1717.7,1777.0,1714.04,1727.67,121882.629021
2023-06-18,1727.67,1748.0,1712.69,1721.14,45264.357251
2023-06-19,1721.2,1752.44,1700.0,1736.93,63984.473795
2023-06-20,1736.93,1797.5,1714.78,1791.94,98923.247838
