ts,open,high,low,close,volume,funding
2023-03-27,20.945,20.989,19.323,19.896,2696009.0,0.0001
2023-03-28,19.895,20.886,19.606,20.443,2621026.0,0.0001
2023-03-29,20.45,21.564,20.428,21.098,2173289.0,0.0001
2023-03-30,21.097,21.684,20.145,20.549,3345150.0,0.0001
2023-03-31,20.553,21.5,20.026,21.176,2184676.0,0.0001
2023-04-01,21.171,21.353,20.747,21.083,1433864.0,0.0001
2023-04-02,21.084,21.315,20.208,20.519,1591535.0,0.0001
2023-04-03,20.523,21.0,19.972,20.459,3500828.0,0.0001
2023-04-04,20.461,21.261,20.289,20.915,2130094.0,0.0001
2023-04-05,20.917,21.353,20.518,20.968,2047979.0,0.0001
2023-04-06,20.966,20.992,20.409,20.623,1473846.0,0.0001
2023-04-07,20.62,20.783,20.218,20.459,1026881.0,0.0001
2023-04-08,20.459,20.733,19.847,20.036,929004.0,0.0001
2023-04-09,20.038,20.454,19.853,20.29,1121072.0,0.0001
2023-04-10,20.288,20.96,20.075,20.901,1121443.0,0.0001
2023-04-11,20.903,23.699,20.826,22.999,10509065.0,0.0001
2023-04-12,22.993,24.486,22.315,23.812,14163634.0,0.0001
2023-04-13,23.812,25.298,23.636,24.429,7171096.0,0.0001
2023-04-14,24.425,25.513,23.723,24.715,7757044.0,0.0001
2023-04-15,24.711,24.809,23.801,24.053,2462779.0,0.0001
2023-04-16,24.055,25.535,23.817,25.368,3740141.0,0.0001
2023-04-17,25.361,26.021,24.269,24.586,7549468.0,0.0001
2023-04-18,24.587,25.441,23.982,24.827,3619826.0,0.0001
2023-04-19,24.833,24.985,21.777,22.676,7381978.0,0.0001
2023-04-20,22.676,23.179,21.582,22.197,5631539.0,0.0001
2023-04-21,22.193,22.414,20.876,21.256,4125899.0,0.0001
2023-04-22,21.253,21.994,21.055,21.795,1760715.0,0.0001
2023-04-23,21.797,22.253,20.931,21.474,3057884.0,0.0001
2023-04-24,21.476,22.022,20.992,21.382,3281089.0,0.0001
2023-04-25,21.385,21.974,20.735,21.93,3082670.0,0.0001
2023-04-26,21.93,22.977,20.311,21.268,7470011.0,0.0001
2023-04-27,21.268,22.532,21.175,22.328,4407620.0,0.0001
2023-04-28,22.332,23.523,22.171,23.343,4317255.0,0.0001
2023-04-29,23.343,23.922,22.86,23.183,3780716.0,0.0001
2023-04-30,23.184,24.013,22.686,22.745,3751315.0,0.0001
